epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,13969.5,1.32049,0.59346,0.00402,0.90079,0.81867,0.87337,0.58369,1.27601,0.54829,0.00458,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,14231.5,1.31018,0.59354,0.00404,0.8968,0.81589,0.87264,0.58364,1.27728,0.55486,0.00459,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,14495.5,1.31169,0.59839,0.00403,0.9084,0.81773,0.87569,0.58662,1.27244,0.54632,0.00457,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,14758.1,1.31161,0.5919,0.00396,0.90534,0.81866,0.87801,0.58548,1.27272,0.54692,0.00456,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,15020.1,1.31488,0.58886,0.00398,0.91196,0.81334,0.87751,0.58611,1.27545,0.54144,0.00457,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,15282.8,1.29849,0.58787,0.00397,0.91488,0.80832,0.87806,0.58713,1.2715,0.54069,0.00459,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,15545.4,1.29833,0.58086,0.00397,0.91038,0.81668,0.87915,0.58711,1.27205,0.53844,0.00457,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,15808.4,1.29609,0.58207,0.00392,0.90865,0.81743,0.87959,0.58802,1.27109,0.53329,0.00455,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,16070,1.29317,0.57834,0.00393,0.9031,0.8235,0.87888,0.58915,1.26647,0.53629,0.00454,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,16332.1,1.28583,0.5731,0.00398,0.9067,0.82604,0.88054,0.5903,1.26394,0.53463,0.00454,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,16594.7,1.28628,0.57529,0.0039,0.90849,0.82279,0.88017,0.5906,1.25908,0.53511,0.00451,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,16857.4,1.28673,0.56936,0.00392,0.91772,0.81976,0.88094,0.59234,1.25968,0.53263,0.00451,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,17119.4,1.27929,0.57069,0.00393,0.91758,0.8195,0.88209,0.59396,1.26016,0.53079,0.00451,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,17383.4,1.2909,0.56397,0.00394,0.90908,0.82195,0.88168,0.59386,1.26039,0.53056,0.00451,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,17645,1.28304,0.56724,0.00384,0.91555,0.81928,0.88251,0.59439,1.26197,0.53249,0.0045,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,17906.6,1.26959,0.55657,0.00393,0.90996,0.82886,0.88353,0.59382,1.26141,0.53561,0.00452,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,18169.1,1.27381,0.56298,0.00385,0.91785,0.82124,0.88311,0.59428,1.25623,0.53248,0.00451,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,18431.4,1.27467,0.56688,0.00388,0.91559,0.82507,0.88349,0.59514,1.25304,0.52828,0.00451,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,18693.3,1.26182,0.55089,0.00382,0.90554,0.82756,0.88274,0.59574,1.25257,0.52976,0.00449,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,18955.6,1.26427,0.55562,0.00383,0.90457,0.82697,0.88157,0.59528,1.25334,0.52866,0.00449,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,19218,1.26373,0.55127,0.00379,0.90662,0.82926,0.88267,0.59644,1.2519,0.52903,0.00448,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,19479.8,1.26764,0.54928,0.0038,0.91688,0.81487,0.88109,0.59623,1.25056,0.53009,0.00448,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,19743.7,1.26773,0.55782,0.00382,0.90583,0.82226,0.88214,0.59636,1.24879,0.52951,0.00447,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,20005.2,1.25444,0.54526,0.00379,0.91208,0.82391,0.88317,0.59704,1.24937,0.52982,0.00448,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,20267.9,1.25715,0.54229,0.00377,0.92196,0.81596,0.88256,0.59616,1.25021,0.53136,0.00449,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,20530,1.24869,0.53958,0.00376,0.92699,0.81658,0.88275,0.5975,1.24782,0.52878,0.00448,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,20792,1.25008,0.54068,0.00374,0.91661,0.82018,0.8827,0.59692,1.24726,0.52719,0.00448,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,21053.9,1.2561,0.54477,0.00375,0.91523,0.82811,0.88409,0.59767,1.24522,0.52606,0.00447,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,21317.1,1.24879,0.54148,0.00372,0.91914,0.82453,0.88384,0.59818,1.24493,0.52578,0.00446,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,21579.8,1.2403,0.53282,0.00372,0.91919,0.82113,0.88248,0.59899,1.24602,0.52693,0.00446,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,21843.8,1.24598,0.53369,0.00368,0.91822,0.82246,0.88286,0.59808,1.2456,0.52737,0.00446,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,22106.5,1.23544,0.52802,0.00372,0.91446,0.8246,0.88283,0.59841,1.24587,0.52949,0.00445,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,22367.7,1.23113,0.52893,0.00367,0.9116,0.82694,0.88276,0.59847,1.24478,0.52977,0.00445,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,22630.4,1.23657,0.5291,0.00369,0.91612,0.82391,0.88311,0.59876,1.24553,0.52701,0.00446,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
